Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
M McBriar,DAL,3,146,48.7,65,1,33.3,0,0.0,1,31.0
R Malone,TB,7,305,43.6,64,2,28.6,1,14.3,0,39.3
B Graham,ARZ,6,263,43.8,62,2,33.3,0,0.0,0,30.2
S Lechler,OAK,4,160,40.0,61,3,75.0,1,25.0,0,35.0
A Lee,SF,5,236,47.2,61,0,0.0,2,40.0,0,32.4
J Ryan,SEA,3,153,51.0,61,0,0.0,0,0.0,0,47.7
B Fields,MIA,7,348,49.7,61,4,57.1,2,28.6,0,42.1
D Colquitt,KC,7,293,41.9,59,4,57.1,0,0.0,0,36.6
R Hodges,CLE,9,438,48.7,59,2,22.2,0,0.0,0,43.3
K Huber,CIN,2,113,56.5,58,2,100.0,0,0.0,0,55.5
J Baker,CAR,7,319,45.6,57,2,28.6,1,14.3,0,29.6
M Scifres,SD,2,101,50.5,57,0,0.0,0,0.0,0,42.0
B Moorman,BUF,6,265,44.2,55,3,50.0,0,0.0,0,40.0
D Jones,STL,4,200,50.0,55,1,25.0,0,0.0,0,45.5
C Kluwe,MIN,4,175,43.8,55,2,50.0,1,25.0,0,35.8
N Harris,DET,4,173,43.3,54,2,50.0,1,25.0,0,29.0
D Sepulveda,PIT,3,133,44.3,53,1,33.3,1,33.3,0,26.0
T Morstead,NO,3,136,45.3,53,0,0.0,0,0.0,0,35.3
M Dodge,NYG,7,309,44.1,53,2,28.6,0,0.0,0,36.1
M Koenen,ATL,5,204,40.8,52,2,40.0,0,0.0,0,38.2
Z Mesko,NE,3,140,46.7,52,1,33.3,0,0.0,0,38.0
T Masthay,GB,3,130,43.3,51,1,33.3,0,0.0,0,33.0
B Maynard,CHI,3,135,45.0,50,2,66.7,0,0.0,0,38.7
S Koch,BAL,6,239,39.8,48,3,50.0,1,16.7,0,34.7
B Colquitt,DEN,7,288,41.1,48,2,28.6,0,0.0,0,39.1
H Smith,WSH,6,200,33.3,47,2,33.3,0,0.0,0,33.0
A Podlesh,JAX,2,86,43.0,46,1,50.0,1,50.0,0,31.0
P McAfee,IND,3,125,41.7,45,2,66.7,0,0.0,0,41.0
S Weatherford,NYJ,3,92,30.7,42,0,0.0,0,0.0,0,26.3
B Kern,TEN,2,72,36.0,40,0,0.0,0,0.0,0,36.0
S Suisham,PIT,3,115,38.3,39,1,33.3,0,0.0,0,34.3
S Rocca,PHI,3,107,35.7,37,3,100.0,0,0.0,0,36.7
M Turk,HOU,2,72,36.0,36,0,0.0,0,0.0,0,36.0
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,NE,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,SD,0,0,-,0,0,-,0,-,0,0.0
