Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
M Scifres,SD,1,67,67.0,67,0,0.0,0,0.0,0,48.0
P McAfee,IND,2,110,55.0,66,0,0.0,1,50.0,0,45.0
B Kern,TEN,6,245,40.8,60,0,0.0,1,16.7,0,31.5
Z Mesko,NE,3,123,41.0,60,1,33.3,0,0.0,0,33.3
S Rocca,PHI,5,248,49.6,59,2,40.0,0,0.0,0,34.6
B Graham,ARZ,5,214,42.8,57,1,20.0,0,0.0,0,39.0
D Sepulveda,PIT,5,247,49.4,57,1,20.0,0,0.0,0,45.6
T Morstead,NO,3,160,53.3,57,0,0.0,1,33.3,0,40.3
M Dodge,NYG,7,294,42.0,57,1,14.3,2,28.6,0,35.4
A Lee,SF,5,216,43.2,56,3,60.0,0,0.0,0,36.8
B Moorman,BUF,9,395,43.9,55,1,11.1,0,0.0,0,34.7
J Ryan,SEA,7,305,43.6,54,2,28.6,0,0.0,0,40.9
D Jones,STL,7,321,45.9,53,4,57.1,1,14.3,0,40.4
M Koenen,ATL,4,165,41.3,53,2,50.0,0,0.0,1,33.0
T Masthay,GB,3,123,41.0,52,1,33.3,0,0.0,0,36.0
M Turk,HOU,6,252,42.0,51,1,16.7,0,0.0,0,41.3
S Lechler,OAK,5,215,43.0,51,4,80.0,0,0.0,0,39.4
S Weatherford,NYJ,6,241,40.2,51,1,16.7,0,0.0,0,31.8
B Colquitt,DEN,5,208,41.6,51,2,40.0,1,20.0,0,35.8
B Maynard,CHI,9,375,41.7,50,3,33.3,1,11.1,0,37.9
J Baker,CAR,6,261,43.5,50,3,50.0,0,0.0,0,40.8
R Hodges,CLE,4,187,46.8,50,1,25.0,1,25.0,0,41.3
K Huber,CIN,3,116,38.7,50,3,100.0,0,0.0,0,38.7
J Bidwell,WSH,5,186,37.2,49,1,20.0,0,0.0,0,33.2
S Koch,BAL,3,126,42.0,47,3,100.0,0,0.0,0,40.7
A Podlesh,JAX,4,170,42.5,47,2,50.0,0,0.0,0,39.0
N Harris,DET,2,67,33.5,43,1,50.0,0,0.0,0,28.0
B Fields,MIA,1,27,27.0,27,1,100.0,0,0.0,1,13.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Carney,NO,0,0,-,0,0,-,0,-,0,0.0
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
J Nedney,SF,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,SD,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
