Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
A Lee,SF,6,323,53.8,64,4,66.7,0,0.0,0,52.0
S Lechler,OAK,6,281,46.8,63,2,33.3,0,0.0,0,44.3
M McBriar,DAL,5,267,53.4,62,1,20.0,1,20.0,0,44.4
N Harris,DET,6,278,46.3,61,2,33.3,0,0.0,0,38.0
J Ryan,SEA,7,260,37.1,58,2,28.6,0,0.0,0,36.3
B Kern,TEN,8,352,44.0,58,3,37.5,1,12.5,0,37.0
D Colquitt,KC,5,232,46.4,56,1,20.0,1,20.0,0,42.2
B Graham,ARZ,6,281,46.8,56,2,33.3,0,0.0,0,42.3
M Turk,HOU,4,170,42.5,55,1,25.0,0,0.0,0,37.8
M Koenen,ATL,8,349,43.6,55,2,25.0,1,12.5,0,39.9
T Morstead,NO,7,317,45.3,55,2,28.6,1,14.3,0,41.6
M Dodge,NYG,4,169,42.3,55,3,75.0,0,0.0,0,40.5
D Jones,STL,7,297,42.4,54,4,57.1,0,0.0,0,28.6
S Rocca,PHI,5,214,42.8,54,2,40.0,0,0.0,0,41.2
T Masthay,GB,5,208,41.6,54,1,20.0,0,0.0,0,39.0
R Hodges,CLE,3,116,38.7,53,2,66.7,0,0.0,0,38.3
R Malone,TB,3,135,45.0,53,0,0.0,1,33.3,0,37.0
S Paulescu,WSH,9,368,40.9,52,1,11.1,0,0.0,0,36.6
J Kapinos,PIT,3,136,45.3,52,2,66.7,0,0.0,0,39.3
A Podlesh,JAX,7,318,45.4,52,2,28.6,1,14.3,0,41.0
B Colquitt,DEN,4,174,43.5,52,2,50.0,1,25.0,0,35.0
S Weatherford,NYJ,4,161,40.3,50,3,75.0,0,0.0,0,30.8
S Koch,BAL,3,137,45.7,50,1,33.3,0,0.0,0,40.0
B Fields,MIA,4,165,41.3,50,2,50.0,1,25.0,0,30.5
B Maynard,CHI,4,176,44.0,49,0,0.0,0,0.0,0,42.0
P McAfee,IND,6,257,42.8,49,2,33.3,1,16.7,0,37.5
Z Mesko,NE,5,206,41.2,48,3,60.0,0,0.0,0,41.2
C Kluwe,MIN,6,232,38.7,46,1,16.7,1,16.7,0,33.8
J Baker,CAR,8,272,34.0,45,2,25.0,1,12.5,0,30.3
K Huber,CIN,4,129,32.3,42,2,50.0,0,0.0,0,29.3
M Scifres,SD,4,127,31.8,37,1,25.0,0,0.0,0,31.8
B Moorman,BUF,2,68,34.0,36,0,0.0,0,0.0,0,34.0
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,NE,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,SD,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
