Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Jones,STL,10,437,43.7,63,3,30.0,0,0.0,0,43.7
M McBriar,DAL,3,160,53.3,61,0,0.0,1,33.3,0,46.7
A Lee,SF,8,376,47.0,61,3,37.5,2,25.0,0,39.3
A Podlesh,JAX,3,131,43.7,59,2,66.7,1,33.3,0,37.0
M Dodge,NYG,4,169,42.3,57,0,0.0,2,50.0,0,32.3
H Smith,WSH,6,300,50.0,56,1,16.7,0,0.0,0,44.0
C Kluwe,MIN,4,176,44.0,56,1,25.0,0,0.0,0,32.3
R Hodges,CLE,5,229,45.8,53,1,20.0,0,0.0,0,38.6
S Koch,BAL,4,198,49.5,53,3,75.0,0,0.0,0,45.5
S Rocca,PHI,4,159,39.8,53,4,100.0,0,0.0,0,38.3
D Sepulveda,PIT,5,226,45.2,53,0,0.0,1,20.0,0,38.8
Z Mesko,NE,5,201,40.2,53,3,60.0,1,20.0,0,31.8
R Malone,TB,4,177,44.3,53,0,0.0,0,0.0,0,32.5
N Harris,DET,8,333,41.6,52,2,25.0,0,0.0,0,33.0
B Graham,ARZ,6,243,40.5,52,3,50.0,1,16.7,0,28.7
B Kern,TEN,5,209,41.8,52,2,40.0,1,20.0,0,37.8
K Huber,CIN,4,161,40.3,52,4,100.0,0,0.0,0,39.0
B Moorman,BUF,7,297,42.4,51,3,42.9,0,0.0,0,37.6
B Fields,MIA,3,145,48.3,51,0,0.0,0,0.0,0,28.0
M Turk,HOU,4,150,37.5,49,1,25.0,0,0.0,0,37.3
P McAfee,IND,7,289,41.3,49,3,42.9,0,0.0,0,40.7
M Koenen,ATL,5,191,38.2,46,2,40.0,0,0.0,0,35.0
B Colquitt,DEN,2,82,41.0,46,0,0.0,1,50.0,0,23.0
D Colquitt,KC,3,130,43.3,44,1,33.3,0,0.0,0,34.3
S Weatherford,NYJ,3,116,38.7,43,2,66.7,0,0.0,0,37.0
B Maynard,CHI,4,154,38.5,42,1,25.0,1,25.0,0,33.5
J Ryan,SEA,1,42,42.0,42,0,0.0,0,0.0,0,31.0
J Baker,CAR,5,158,31.6,35,2,40.0,0,0.0,0,30.6
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
J Nedney,SF,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,NE,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
D Rayner,DET,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
