Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
B Fields,MIA,3,138,46.0,68,3,100.0,0,0.0,1,32.5
A Podlesh,JAX,8,384,48.0,63,3,37.5,2,25.0,0,39.1
D Sepulveda,PIT,1,62,62.0,62,1,100.0,0,0.0,0,62.0
S Weatherford,NYJ,4,168,42.0,61,2,50.0,0,0.0,0,37.5
P McAfee,IND,6,287,47.8,61,1,16.7,1,16.7,0,35.0
S Koch,BAL,3,146,48.7,60,1,33.3,0,0.0,0,48.7
M McBriar,DAL,2,107,53.5,59,0,0.0,0,0.0,0,47.5
D Colquitt,KC,4,177,44.3,59,3,75.0,0,0.0,0,44.3
A Lee,SF,8,378,47.3,58,2,25.0,1,12.5,0,36.6
B Graham,ARZ,6,295,49.2,58,2,33.3,1,16.7,0,44.5
T Masthay,GB,3,150,50.0,58,0,0.0,0,0.0,0,19.0
S Lechler,OAK,5,259,51.8,57,2,40.0,0,0.0,0,50.6
J Baker,CAR,6,267,44.5,57,0,0.0,1,16.7,0,34.2
T Morstead,NO,2,98,49.0,57,0,0.0,1,50.0,0,39.0
S Rocca,PHI,7,316,45.1,56,2,28.6,0,0.0,0,36.3
B Kern,TEN,5,214,42.8,55,1,20.0,1,20.0,0,36.6
B Colquitt,DEN,3,143,47.7,55,1,33.3,0,0.0,0,46.3
R Hodges,CLE,6,294,49.0,54,2,33.3,1,16.7,0,41.7
N Harris,DET,7,300,42.9,53,1,14.3,1,14.3,0,35.9
M Scifres,SD,5,207,41.4,53,3,60.0,0,0.0,0,32.6
D Jones,STL,3,138,46.0,52,1,33.3,0,0.0,0,45.7
M Koenen,ATL,4,158,39.5,52,1,25.0,0,0.0,0,21.5
J Ryan,SEA,5,202,40.4,52,2,40.0,1,20.0,0,31.8
K Huber,CIN,6,249,41.5,51,5,83.3,1,16.7,0,38.2
B Maynard,CHI,2,97,48.5,49,1,50.0,0,0.0,0,43.5
C Kluwe,MIN,5,216,43.2,49,4,80.0,0,0.0,0,43.2
Z Mesko,NE,3,113,37.7,44,0,0.0,0,0.0,0,34.7
M Turk,HOU,3,110,36.7,42,1,33.3,1,33.3,0,26.0
G Gano,WSH,4,141,35.3,42,1,25.0,0,0.0,1,24.0
C Bryan,TB,5,155,31.0,38,1,20.0,0,0.0,0,29.4
B Moorman,BUF,1,33,33.0,33,0,0.0,0,0.0,0,33.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
J Nedney,SF,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,SD,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
