Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Colquitt,KC,6,285,47.5,72,3,50.0,1,16.7,0,36.2
B Fields,MIA,3,138,46.0,62,1,33.3,0,0.0,0,34.7
A Podlesh,JAX,4,192,48.0,61,2,50.0,0,0.0,0,47.3
B Moorman,BUF,6,217,36.2,60,0,0.0,1,16.7,0,32.8
T Masthay,GB,4,165,41.3,58,2,50.0,0,0.0,0,38.5
M Koenen,ATL,4,180,45.0,56,2,50.0,0,0.0,0,44.3
B Colquitt,DEN,7,307,43.9,56,1,14.3,1,14.3,0,34.3
B Maynard,CHI,3,125,41.7,55,1,33.3,0,0.0,0,39.7
M Scifres,SD,3,146,48.7,54,0,0.0,0,0.0,0,40.7
M McBriar,DAL,2,82,41.0,54,1,50.0,0,0.0,0,41.0
A Lee,SF,6,282,47.0,54,2,33.3,0,0.0,0,39.0
B Graham,ARZ,6,253,42.2,54,2,33.3,0,0.0,0,33.5
D Jones,STL,8,371,46.4,53,1,12.5,0,0.0,0,37.1
S Rocca,PHI,6,247,41.2,53,2,33.3,0,0.0,0,35.3
M Turk,HOU,4,144,36.0,52,1,25.0,1,25.0,0,30.5
S Weatherford,NYJ,4,147,36.8,52,3,75.0,0,0.0,0,35.8
M Dodge,NYG,7,258,36.9,50,3,42.9,1,14.3,0,23.3
R Malone,TB,3,118,39.3,50,0,0.0,1,33.3,0,32.7
Z Mesko,NE,5,202,40.4,48,1,20.0,0,0.0,0,35.2
J Ryan,SEA,4,165,41.3,47,1,25.0,0,0.0,0,38.3
J Kapinos,PIT,4,152,38.0,47,0,0.0,1,25.0,0,25.0
T Morstead,NO,6,253,42.2,47,2,33.3,0,0.0,0,36.3
R Hodges,CLE,5,185,37.0,46,2,40.0,0,0.0,0,31.8
S Koch,BAL,5,193,38.6,46,2,40.0,0,0.0,0,36.8
B Kern,TEN,4,150,37.5,46,2,50.0,0,0.0,0,34.5
S Paulescu,WSH,4,158,39.5,45,0,0.0,0,0.0,0,26.0
S Lechler,OAK,3,115,38.3,44,2,66.7,0,0.0,0,35.7
N Harris,DET,4,158,39.5,44,1,25.0,0,0.0,0,31.8
J Baker,CAR,3,101,33.7,44,1,33.3,0,0.0,0,30.7
P McAfee,IND,6,235,39.2,44,2,33.3,0,0.0,0,22.7
C Kluwe,MIN,6,196,32.7,37,0,0.0,0,0.0,0,21.5
K Huber,CIN,1,34,34.0,34,1,100.0,0,0.0,0,34.0
S Janikowski,OAK,1,33,33.0,33,0,0.0,0,0.0,0,33.0
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,NE,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,SD,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
