Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
T Masthay,GB,5,222,44.4,67,1,20.0,1,20.0,0,29.2
B Fields,MIA,7,305,43.6,65,3,42.9,0,0.0,0,39.3
B Moorman,BUF,3,136,45.3,64,1,33.3,1,33.3,0,33.0
M McBriar,DAL,4,207,51.8,64,0,0.0,1,25.0,0,40.0
T Conley,NYJ,8,388,48.5,63,3,37.5,2,25.0,0,39.4
P McAfee,IND,4,208,52.0,62,1,25.0,0,0.0,0,43.3
T Morstead,NO,4,220,55.0,61,0,0.0,0,0.0,0,49.0
A Lee,SF,9,430,47.8,60,4,44.4,1,11.1,0,41.0
S Lechler,OAK,4,194,48.5,59,2,50.0,1,25.0,0,36.0
B Hartmann,HOU,6,246,41.0,59,2,33.3,1,16.7,0,35.5
M Koenen,TB,4,189,47.3,58,3,75.0,0,0.0,0,49.8
R Donahue,DET,8,350,43.8,57,0,0.0,1,12.5,0,32.3
S Weatherford,NYG,3,161,53.7,56,0,0.0,1,33.3,0,43.3
C Kluwe,MIN,5,186,37.2,55,0,0.0,0,0.0,0,31.8
D Sepulveda,PIT,6,256,42.7,55,1,16.7,1,16.7,0,38.2
B Maynard,CLE,6,271,45.2,54,4,66.7,0,0.0,0,46.2
S Rocca,WSH,4,170,42.5,53,2,50.0,0,0.0,0,42.5
K Huber,CIN,5,221,44.2,53,1,20.0,0,0.0,0,43.2
Z Mesko,NE,2,96,48.0,53,1,50.0,0,0.0,0,46.5
A Podlesh,CHI,3,115,38.3,51,2,66.7,0,0.0,0,38.3
C Henry,PHI,3,131,43.7,50,0,0.0,1,33.3,0,35.7
S Koch,BAL,2,90,45.0,48,1,50.0,0,0.0,0,43.0
N Harris,JAX,7,296,42.3,47,1,14.3,0,0.0,0,40.4
M Bosher,ATL,3,129,43.0,46,2,66.7,0,0.0,0,43.0
D Jones,STL,5,162,32.4,42,3,60.0,0,0.0,0,32.4
J Baker,CAR,2,81,40.5,41,0,0.0,0,0.0,0,36.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,MIA,0,0,-,0,0,-,0,-,0,0.0
G Gano,WSH,0,0,-,0,0,-,0,-,0,0.0
