Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
J Ryan,SEA,3,183,61.0,70,1,33.3,0,0.0,0,58.3
B Moorman,BUF,4,190,47.5,66,2,50.0,0,0.0,0,43.5
D Zastudil,ARZ,6,278,46.3,63,3,50.0,0,0.0,0,42.0
S Lechler,OAK,6,303,50.5,61,2,33.3,0,0.0,0,32.5
A Lee,SF,5,223,44.6,61,2,40.0,2,40.0,0,36.6
M Scifres,SD,2,98,49.0,60,1,50.0,0,0.0,0,43.5
P McAfee,IND,9,451,50.1,60,2,22.2,1,11.1,0,45.8
D Jones,STL,7,352,50.3,59,4,57.1,0,0.0,0,32.1
M Bosher,ATL,7,321,45.9,59,3,42.9,1,14.3,0,43.1
D Colquitt,KC,5,229,45.8,57,0,0.0,0,0.0,0,35.6
K Huber,CIN,7,308,44.0,57,2,28.6,2,28.6,0,37.1
T Morstead,NO,2,113,56.5,57,0,0.0,0,0.0,0,48.5
B Colquitt,DEN,5,238,47.6,57,0,0.0,0,0.0,0,39.0
B Fields,MIA,5,221,44.2,55,2,40.0,1,20.0,0,34.2
T Masthay,GB,2,108,54.0,55,0,0.0,0,0.0,0,42.5
S Rocca,WSH,5,244,48.8,54,1,20.0,0,0.0,0,39.4
B Kern,TEN,7,320,45.7,54,1,14.3,1,14.3,0,41.6
B Maynard,CLE,4,175,43.8,52,1,25.0,0,0.0,0,29.8
C Jones,DAL,4,172,43.0,52,2,50.0,0,0.0,0,43.0
S Weatherford,NYG,8,345,43.1,51,5,62.5,0,0.0,0,41.0
A Podlesh,CHI,3,103,34.3,50,1,33.3,0,0.0,0,37.3
Z Mesko,NE,5,225,45.0,50,0,0.0,0,0.0,0,45.0
M Koenen,TB,3,119,39.7,49,1,33.3,1,33.3,0,28.0
B Hartmann,HOU,2,95,47.5,49,0,0.0,1,50.0,0,36.0
S Koch,BAL,2,90,45.0,46,0,0.0,0,0.0,0,34.5
C Henry,PHI,2,71,35.5,44,1,50.0,0,0.0,0,26.0
J Kapinos,PIT,3,100,33.3,41,1,33.3,0,0.0,0,32.3
T Conley,NYJ,2,71,35.5,36,1,50.0,0,0.0,0,35.5
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
