Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Colquitt,KC,5,286,57.2,68,1,20.0,0,0.0,0,46.6
A Lee,SF,5,268,53.6,65,2,40.0,1,20.0,0,42.8
J Ryan,SEA,6,320,53.3,65,0,0.0,2,33.3,0,24.0
M Scifres,SD,3,168,56.0,63,1,33.3,0,0.0,0,50.7
T Morstead,NO,6,282,47.0,62,3,50.0,0,0.0,1,40.3
B Hartmann,HOU,6,272,45.3,61,2,33.3,1,16.7,0,40.0
D Jones,STL,7,298,42.6,59,3,42.9,0,0.0,0,39.9
B Fields,MIA,5,247,49.4,59,2,40.0,0,0.0,0,43.8
K Huber,CIN,5,226,45.2,59,1,20.0,0,0.0,0,37.6
P McAfee,IND,6,269,44.8,58,2,33.3,0,0.0,1,32.9
S Rocca,WSH,6,284,47.3,57,3,50.0,0,0.0,0,43.7
B Colquitt,DEN,7,353,50.4,57,1,14.3,0,0.0,0,46.1
B Maynard,CLE,6,264,44.0,55,4,66.7,0,0.0,0,41.0
N Harris,JAX,8,374,46.8,55,0,0.0,1,12.5,0,37.3
S Weatherford,NYG,4,187,46.8,55,3,75.0,0,0.0,0,44.5
B Kern,TEN,8,330,41.3,55,2,25.0,2,25.0,0,34.1
C Kluwe,MIN,4,179,44.8,53,1,25.0,0,0.0,0,40.0
Z Mesko,NE,4,168,42.0,53,1,25.0,0,0.0,0,39.0
B Moorman,BUF,3,135,45.0,52,0,0.0,1,33.3,0,27.7
J Baker,CAR,4,174,43.5,52,3,75.0,0,0.0,0,43.0
D Zastudil,ARZ,6,240,40.0,52,3,50.0,0,0.0,0,36.3
R Donahue,DET,7,284,40.6,52,1,14.3,1,14.3,0,33.7
C Henry,PHI,2,92,46.0,52,0,0.0,0,0.0,0,28.5
S Koch,BAL,5,219,43.8,48,2,40.0,0,0.0,0,21.4
D Bailey,DAL,2,79,39.5,41,0,0.0,0,0.0,0,37.0
M McBriar,DAL,3,116,38.7,39,2,66.7,0,0.0,0,37.3
D Sepulveda,PIT,1,31,31.0,31,0,0.0,0,0.0,0,30.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,MIA,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
R Succop,KC,0,0,-,0,0,-,0,-,0,0.0
