Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
K Huber,CIN,7,334,47.7,71,1,14.3,1,14.3,0,44.4
B Moorman,BUF,5,251,50.2,64,1,20.0,2,40.0,0,36.8
P McAfee,IND,5,277,55.4,64,1,20.0,0,0.0,0,47.6
J Ryan,SEA,7,312,44.6,62,4,57.1,1,14.3,0,40.0
S Lechler,OAK,7,346,49.4,61,2,28.6,0,0.0,0,44.7
D Colquitt,KC,6,269,44.8,60,2,33.3,1,16.7,0,41.2
S Weatherford,NYG,7,353,50.4,60,0,0.0,0,0.0,0,39.1
B Colquitt,DEN,6,322,53.7,60,1,16.7,0,0.0,0,42.8
T Conley,NYJ,7,319,45.6,59,2,28.6,0,0.0,0,37.9
M Koenen,TB,6,259,43.2,58,3,50.0,0,0.0,0,34.7
M Scifres,SD,3,147,49.0,57,1,33.3,0,0.0,0,36.7
M Turk,HOU,7,264,37.7,56,2,28.6,0,0.0,0,31.6
T Morstead,NO,2,90,45.0,56,0,0.0,1,50.0,0,30.5
Z Mesko,NE,4,205,51.3,56,1,25.0,1,25.0,0,41.3
B Graham,DET,5,212,42.4,55,2,40.0,0,0.0,0,33.4
A Podlesh,CHI,5,221,44.2,55,1,20.0,0,0.0,0,39.0
J Baker,CAR,3,132,44.0,53,2,66.7,0,0.0,0,45.0
B Hartmann,HOU,8,298,37.3,52,2,25.0,0,0.0,0,33.0
C Kluwe,MIN,4,190,47.5,51,2,50.0,0,0.0,0,47.5
D Sepulveda,PIT,1,48,48.0,48,1,100.0,0,0.0,1,19.0
M Bosher,ATL,5,189,37.8,47,1,20.0,0,0.0,0,37.0
R Donahue,DET,5,162,32.4,46,3,60.0,0,0.0,0,32.2
B Kern,TEN,4,169,42.3,44,1,25.0,0,0.0,0,42.3
T Masthay,GB,2,85,42.5,43,1,50.0,0,0.0,0,41.0
A Lee,SF,1,38,38.0,38,1,100.0,0,0.0,0,38.0
C Henry,PHI,2,72,36.0,37,0,0.0,1,50.0,0,26.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
