Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
B Fields,MIA,3,181,60.3,70,2,66.7,0,0.0,0,48.3
B Hartmann,HOU,6,287,47.8,69,2,33.3,0,0.0,0,41.2
D Sepulveda,PIT,3,175,58.3,66,0,0.0,2,66.7,0,45.0
A Lee,SF,6,332,55.3,64,1,16.7,1,16.7,0,45.7
S Weatherford,NYG,7,322,46.0,61,2,28.6,1,14.3,0,39.0
J Ryan,SEA,8,387,48.4,59,3,37.5,0,0.0,0,40.4
T Morstead,NO,5,229,45.8,59,1,20.0,0,0.0,0,46.6
B Colquitt,DEN,6,335,55.8,59,1,16.7,0,0.0,0,51.0
S Lechler,OAK,3,155,51.7,58,1,33.3,0,0.0,0,46.3
B Moorman,BUF,2,99,49.5,58,0,0.0,0,0.0,0,40.0
D Jones,STL,7,313,44.7,58,1,14.3,0,0.0,0,42.3
P McAfee,IND,4,208,52.0,58,0,0.0,0,0.0,0,39.0
B Kern,TEN,3,119,39.7,55,2,66.7,0,0.0,0,38.3
M McBriar,DAL,4,194,48.5,54,0,0.0,0,0.0,0,37.3
S Koch,BAL,5,225,45.0,54,1,20.0,0,0.0,0,41.6
Z Mesko,NE,2,85,42.5,54,1,50.0,0,0.0,0,43.5
D Zastudil,ARZ,6,294,49.0,53,1,16.7,1,16.7,0,33.5
M Koenen,TB,4,183,45.8,52,1,25.0,0,0.0,0,45.0
C Kluwe,MIN,4,165,41.3,52,1,25.0,0,0.0,0,34.5
C Henry,PHI,4,179,44.8,52,2,50.0,1,25.0,0,35.0
A Podlesh,CHI,8,350,43.8,51,2,25.0,0,0.0,0,43.6
R Donahue,DET,5,206,41.2,51,2,40.0,0,0.0,0,41.0
M Bosher,ATL,7,249,35.6,49,1,14.3,0,0.0,0,34.7
B Maynard,CLE,5,201,40.2,48,3,60.0,0,0.0,0,40.2
K Huber,CIN,5,205,41.0,48,2,40.0,1,20.0,0,37.0
T Masthay,GB,3,116,38.7,47,1,33.3,0,0.0,0,35.0
M Turk,HOU,5,203,40.6,46,1,20.0,2,40.0,0,32.6
D Colquitt,KC,5,198,39.6,44,2,40.0,0,0.0,0,38.2
T Conley,NYJ,5,194,38.8,44,1,20.0,0,0.0,0,37.4
S Rocca,WSH,3,118,39.3,43,2,66.7,0,0.0,0,29.3
J Baker,CAR,2,75,37.5,40,1,50.0,0,0.0,0,37.5
M Scifres,SD,1,35,35.0,35,1,100.0,0,0.0,0,35.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
