Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
J Ryan,SEA,9,447,49.7,71,4,44.4,1,11.1,0,44.9
S Lechler,OAK,6,284,47.3,64,0,0.0,1,16.7,0,37.7
B Fields,MIA,7,337,48.1,64,5,71.4,0,0.0,0,39.6
S Rocca,WSH,5,243,48.6,63,2,40.0,0,0.0,0,44.2
T Masthay,GB,3,163,54.3,63,1,33.3,1,33.3,0,42.3
S Weatherford,NYG,9,463,51.4,61,4,44.4,0,0.0,0,44.4
S Koch,BAL,8,391,48.9,61,3,37.5,0,0.0,0,45.9
M McBriar,DAL,7,286,40.9,60,2,28.6,1,14.3,0,24.1
C Henry,PHI,6,261,43.5,60,2,33.3,1,16.7,0,40.2
A Lee,SF,3,136,45.3,58,1,33.3,0,0.0,0,38.0
B Kern,TEN,5,225,45.0,57,0,0.0,0,0.0,0,39.6
B Moorman,BUF,6,295,49.2,56,0,0.0,0,0.0,1,34.6
D Jones,STL,10,441,44.1,56,3,30.0,1,10.0,0,34.7
D Colquitt,KC,5,199,39.8,56,3,60.0,0,0.0,0,23.6
K Huber,CIN,7,270,38.6,56,2,28.6,0,0.0,0,37.7
B Colquitt,DEN,8,350,43.8,56,3,37.5,2,25.0,0,34.4
A Podlesh,CHI,3,137,45.7,55,1,33.3,0,0.0,0,45.7
M Koenen,TB,3,140,46.7,53,1,33.3,0,0.0,0,23.7
Z Mesko,NE,4,203,50.8,52,0,0.0,0,0.0,0,33.0
D Zastudil,ARZ,6,279,46.5,51,1,16.7,0,0.0,0,43.8
C Kluwe,MIN,3,133,44.3,50,2,66.7,0,0.0,0,33.0
J Baker,CAR,3,122,40.7,49,0,0.0,0,0.0,0,32.3
B Graham,DET,2,96,48.0,49,0,0.0,0,0.0,0,35.5
N Harris,JAX,5,203,40.6,48,2,40.0,1,20.0,0,36.6
T Conley,NYJ,6,230,38.3,48,2,33.3,0,0.0,0,36.3
B Maynard,CLE,3,108,36.0,44,1,33.3,0,0.0,0,32.3
M Scifres,SD,3,118,39.3,42,1,33.3,0,0.0,0,19.7
M Bosher,ATL,2,66,33.0,39,2,100.0,0,0.0,0,33.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,BAL,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
D Rayner,BUF,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
