Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
S Lechler,OAK,4,217,54.3,76,2,50.0,1,25.0,0,44.5
Z Mesko,NE,6,314,52.3,65,4,66.7,0,0.0,0,48.2
J Ryan,SEA,5,227,45.4,64,2,40.0,1,20.0,0,33.2
B Fields,MIA,6,269,44.8,61,2,33.3,0,0.0,0,41.7
A Lee,SF,2,108,54.0,60,0,0.0,0,0.0,1,28.0
M Koenen,TB,1,59,59.0,59,0,0.0,0,0.0,0,58.0
T Morstead,NO,2,104,52.0,59,0,0.0,0,0.0,0,52.0
B Moorman,BUF,4,201,50.3,58,2,50.0,1,25.0,0,44.5
S Weatherford,NYG,9,391,43.4,58,2,22.2,0,0.0,0,35.2
J Kapinos,PIT,4,191,47.8,56,1,25.0,0,0.0,0,40.0
A Podlesh,CHI,2,98,49.0,56,0,0.0,0,0.0,0,45.0
M Bosher,ATL,3,150,50.0,56,1,33.3,1,33.3,0,43.3
C Henry,PHI,6,256,42.7,56,0,0.0,1,16.7,0,36.3
D Colquitt,KC,3,146,48.7,54,1,33.3,0,0.0,0,48.3
S Koch,BAL,5,223,44.6,53,0,0.0,0,0.0,0,27.8
P McAfee,IND,5,209,41.8,53,2,40.0,0,0.0,0,38.6
J Baker,CAR,2,93,46.5,52,1,50.0,0,0.0,0,42.0
B Maynard,CLE,6,251,41.8,51,3,50.0,0,0.0,0,41.8
N Harris,JAX,9,406,45.1,51,1,11.1,1,11.1,0,38.0
D Jones,STL,7,281,40.1,51,1,14.3,0,0.0,0,39.4
B Kern,TEN,4,172,43.0,51,3,75.0,0,0.0,0,41.8
K Huber,CIN,5,215,43.0,51,1,20.0,1,20.0,0,39.6
T Masthay,GB,4,176,44.0,51,3,75.0,0,0.0,0,42.3
M Turk,HOU,6,253,42.2,50,1,16.7,1,16.7,0,35.5
M McBriar,DAL,9,343,38.1,50,5,55.6,1,11.1,0,33.7
B Colquitt,DEN,7,306,43.7,50,1,14.3,0,0.0,0,24.4
C Kluwe,MIN,3,133,44.3,49,1,33.3,0,0.0,0,39.7
T Conley,NYJ,9,379,42.1,49,4,44.4,1,11.1,0,39.1
M Scifres,SD,4,166,41.5,47,3,75.0,0,0.0,0,39.8
B Graham,DET,3,124,41.3,47,1,33.3,0,0.0,0,35.7
D Zastudil,ARZ,6,230,38.3,46,2,33.3,0,0.0,0,37.3
S Rocca,WSH,2,79,39.5,40,0,0.0,0,0.0,0,37.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
J Kasay,NO,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,CAR,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
N Rackers,HOU,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
