Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
P McAfee,IND,5,257,51.4,63,2,40.0,1,20.0,0,42.8
S Lechler,OAK,2,114,57.0,62,0,0.0,0,0.0,1,32.0
C Henry,PHI,6,330,55.0,62,1,16.7,0,0.0,0,42.0
A Lee,SF,5,256,51.2,61,3,60.0,0,0.0,0,35.2
T Masthay,GB,6,289,48.2,60,4,66.7,1,16.7,0,41.5
C Jones,DAL,2,108,54.0,60,1,50.0,0,0.0,0,51.5
C Kluwe,MIN,5,242,48.4,59,1,20.0,0,0.0,0,44.4
T Morstead,NO,5,278,55.6,59,0,0.0,0,0.0,0,48.8
S Rocca,WSH,3,139,46.3,58,0,0.0,1,33.3,1,26.3
K Huber,CIN,4,183,45.8,57,1,25.0,0,0.0,0,41.3
J Hekker,STL,5,241,48.2,57,1,20.0,0,0.0,0,37.6
B Anger,JAX,4,214,53.5,57,1,25.0,1,25.0,0,43.0
S Weatherford,NYG,4,201,50.3,56,1,25.0,1,25.0,0,44.5
B Fields,MIA,3,133,44.3,56,2,66.7,0,0.0,0,39.7
B Kern,TEN,4,209,52.3,56,2,50.0,0,0.0,0,45.5
M Scifres,SD,3,163,54.3,55,2,66.7,0,0.0,0,49.3
D Jones,HOU,5,218,43.6,55,1,20.0,0,0.0,0,28.4
R Malone,NYJ,2,103,51.5,55,1,50.0,0,0.0,0,38.0
R Hodges,CLE,7,308,44.0,54,3,42.9,1,14.3,0,40.3
D Zastudil,ARZ,5,238,47.6,53,2,40.0,0,0.0,0,37.6
M Koenen,TB,5,230,46.0,52,2,40.0,1,20.0,0,36.4
M Bosher,ATL,1,52,52.0,52,0,0.0,0,0.0,0,38.0
D Butler,PIT,3,142,47.3,52,1,33.3,0,0.0,0,40.0
Z Mesko,NE,4,154,38.5,51,3,75.0,1,25.0,0,33.5
S Koch,BAL,2,87,43.5,50,1,50.0,0,0.0,0,34.0
A Podlesh,CHI,5,208,41.6,50,0,0.0,1,20.0,0,35.2
J Ryan,SEA,4,185,46.3,48,1,25.0,0,0.0,0,37.0
D Colquitt,KC,1,47,47.0,47,1,100.0,0,0.0,0,47.0
B Nortman,CAR,5,199,39.8,47,2,40.0,0,0.0,1,33.2
B Colquitt,DEN,2,90,45.0,46,1,50.0,0,0.0,0,33.5
B Graham,DET,3,121,40.3,45,2,66.7,0,0.0,0,38.3
B Moorman,DAL,2,81,40.5,44,0,0.0,0,0.0,0,6.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,HOU,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,WSH,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
N Kaeding,MIA,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
