Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
A Lee,SF,5,228,45.6,66,4,80.0,0,0.0,0,44.6
J Ryan,SEA,4,194,48.5,64,1,25.0,0,0.0,0,31.0
D Jones,HOU,5,240,48.0,62,2,40.0,0,0.0,0,47.8
K Huber,CIN,6,311,51.8,61,1,16.7,1,16.7,0,46.8
R Malone,NYJ,3,170,56.7,60,0,0.0,1,33.3,0,43.0
B Moorman,DAL,4,197,49.3,59,2,50.0,0,0.0,0,48.3
P McAfee,IND,5,242,48.4,59,1,20.0,2,40.0,0,38.0
N Harris,DET,8,321,40.1,58,3,37.5,0,0.0,0,39.3
S Koch,BAL,5,253,50.6,57,1,20.0,0,0.0,0,48.8
B Kern,TEN,3,124,41.3,57,2,66.7,1,33.3,0,34.7
T Morstead,NO,4,205,51.3,57,2,50.0,0,0.0,0,47.5
J Hekker,STL,2,99,49.5,55,1,50.0,0,0.0,0,42.0
D Butler,PIT,2,94,47.0,55,1,50.0,0,0.0,0,44.5
B Nortman,CAR,6,248,41.3,55,2,33.3,0,0.0,0,38.5
B Anger,JAX,9,379,42.1,55,2,22.2,1,11.1,0,39.2
M Koenen,TB,3,126,42.0,54,0,0.0,0,0.0,0,37.0
Z Mesko,NE,6,269,44.8,54,4,66.7,0,0.0,0,41.2
R Hodges,CLE,5,207,41.4,53,2,40.0,0,0.0,0,39.8
A Podlesh,CHI,8,324,40.5,53,2,25.0,0,0.0,0,39.6
D Zastudil,ARZ,6,234,39.0,52,5,83.3,0,0.0,0,39.0
C Kluwe,MIN,7,280,40.0,51,1,14.3,0,0.0,0,39.0
S Lechler,OAK,6,264,44.0,49,1,16.7,1,16.7,0,33.3
S Weatherford,NYG,3,120,40.0,44,1,33.3,0,0.0,0,35.7
T Masthay,GB,3,116,38.7,42,2,66.7,0,0.0,0,38.7
S Rocca,WSH,1,33,33.0,33,0,0.0,0,0.0,0,33.0
B Roethlisberger,PIT,1,26,26.0,26,1,100.0,0,0.0,0,26.0
S Powell,BUF,1,22,22.0,22,0,0.0,0,0.0,0,22.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,HOU,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
J Medlock,CAR,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
D Bailey,DAL,0,0,-,0,0,-,0,-,0,0.0
G Zuerlein,STL,0,0,-,0,0,-,0,-,0,0.0
