Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
K Huber,CIN,6,322,53.7,69,3,50.0,0,0.0,0,48.7
D Colquitt,KC,7,356,50.9,68,4,57.1,1,14.3,0,44.6
M Scifres,SD,9,493,54.8,66,3,33.3,3,33.3,1,41.1
B Fields,MIA,6,299,49.8,65,2,33.3,0,0.0,0,33.5
D Zastudil,ARZ,8,407,50.9,62,3,37.5,1,12.5,0,42.9
B Anger,JAX,5,242,48.4,62,1,20.0,0,0.0,0,33.2
Z Mesko,NE,2,114,57.0,61,1,50.0,0,0.0,0,53.5
M Koenen,TB,6,297,49.5,58,1,16.7,1,16.7,0,39.3
B Colquitt,DEN,5,252,50.4,58,1,20.0,1,20.0,0,44.4
R Malone,NYJ,3,127,42.3,58,2,66.7,1,33.3,0,35.7
S Rocca,WSH,5,227,45.4,57,3,60.0,0,0.0,0,39.8
P McAfee,IND,3,139,46.3,57,1,33.3,0,0.0,0,7.3
J Hekker,STL,5,251,50.2,57,1,20.0,0,0.0,0,44.4
T Masthay,GB,4,176,44.0,56,2,50.0,0,0.0,0,44.0
S Powell,BUF,7,317,45.3,56,5,71.4,0,0.0,0,40.9
D Jones,HOU,3,111,37.0,55,2,66.7,0,0.0,0,33.3
B Nortman,CAR,6,274,45.7,55,1,16.7,1,16.7,0,39.8
A Lee,SF,4,188,47.0,54,4,100.0,0,0.0,0,47.3
S Koch,BAL,8,372,46.5,54,4,50.0,1,12.5,0,42.5
S Lechler,OAK,3,135,45.0,53,0,0.0,1,33.3,0,38.3
B Moorman,DAL,7,302,43.1,53,3,42.9,0,0.0,0,37.3
M McBriar,PHI,5,234,46.8,53,1,20.0,1,20.0,0,36.4
A Podlesh,CHI,5,234,46.8,53,1,20.0,0,0.0,0,43.0
M Bosher,ATL,4,205,51.3,53,2,50.0,0,0.0,0,47.0
R Hodges,CLE,5,223,44.6,52,2,40.0,1,20.0,0,35.2
D Butler,PIT,8,357,44.6,51,4,50.0,0,0.0,0,35.4
T Morstead,NO,4,172,43.0,50,1,25.0,0,0.0,0,43.0
N Harris,DET,3,118,39.3,44,0,0.0,0,0.0,0,39.3
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,HOU,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
J Medlock,CAR,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,MIA,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
