Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
B Kern,TEN,4,208,52.0,71,3,75.0,0,0.0,0,48.0
S Weatherford,NYG,4,213,53.3,68,0,0.0,1,25.0,0,27.3
B Fields,MIA,6,291,48.5,67,1,16.7,0,0.0,0,39.2
M McBriar,PHI,7,354,50.6,63,0,0.0,2,28.6,0,31.0
S Lechler,OAK,5,274,54.8,60,1,20.0,0,0.0,0,47.6
B Colquitt,DEN,6,288,48.0,60,3,50.0,0,0.0,0,46.3
D Jones,HOU,8,357,44.6,59,1,12.5,1,12.5,0,38.3
B Nortman,CAR,9,451,50.1,59,1,11.1,0,0.0,0,36.2
S Koch,BAL,4,210,52.5,58,1,25.0,0,0.0,0,52.5
D Butler,PIT,6,256,42.7,58,0,0.0,1,16.7,0,36.5
M Scifres,SD,2,112,56.0,57,0,0.0,1,50.0,1,29.0
D Colquitt,KC,8,337,42.1,57,5,62.5,1,12.5,0,39.1
C Kluwe,MIN,5,243,48.6,57,2,40.0,1,20.0,0,35.0
K Huber,CIN,4,193,48.3,57,2,50.0,0,0.0,0,41.3
P McAfee,IND,3,135,45.0,57,2,66.7,0,0.0,0,45.0
T Morstead,NO,5,250,50.0,57,1,20.0,0,0.0,0,48.2
B Anger,JAX,5,236,47.2,57,1,20.0,0,0.0,0,44.8
R Malone,NYJ,7,321,45.9,56,4,57.1,0,0.0,0,40.1
B Moorman,DAL,7,288,41.1,53,3,42.9,0,0.0,0,40.6
M Koenen,TB,3,134,44.7,52,1,33.3,0,0.0,0,41.0
M Bosher,ATL,3,140,46.7,52,1,33.3,0,0.0,0,46.0
J Ryan,SEA,6,255,42.5,50,2,33.3,0,0.0,0,41.5
S Powell,BUF,2,100,50.0,50,0,0.0,0,0.0,0,45.0
A Lee,SF,6,251,41.8,49,3,50.0,1,16.7,0,36.2
J Hekker,STL,4,147,36.8,45,1,25.0,0,0.0,0,31.0
Z Mesko,NE,2,69,34.5,44,1,50.0,0,0.0,0,34.5
A Podlesh,CHI,5,194,38.8,43,2,40.0,0,0.0,0,38.8
N Harris,DET,6,228,38.0,42,0,0.0,0,0.0,0,37.0
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
S Graham,HOU,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
J Medlock,CAR,0,0,-,0,0,-,0,-,0,0.0
C Barth,TB,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,MIA,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
