Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Butler,PIT,7,332,47.4,79,2,28.6,0,0.0,0,42.4
M McBriar,PHI,7,343,49.0,66,0,0.0,0,0.0,0,40.0
M Koenen,TB,10,424,42.4,61,2,20.0,2,20.0,0,34.9
D Zastudil,ARZ,6,280,46.7,59,2,33.3,0,0.0,0,40.2
D Jones,HOU,7,345,49.3,59,1,14.3,0,0.0,0,42.1
S Koch,BAL,5,251,50.2,59,2,40.0,0,0.0,0,30.2
R Malone,NYJ,7,326,46.6,59,1,14.3,1,14.3,0,40.1
S Lechler,OAK,5,217,43.4,58,3,60.0,0,0.0,0,43.4
B Nortman,CAR,2,88,44.0,58,1,50.0,1,50.0,0,34.0
D Colquitt,KC,7,336,48.0,57,4,57.1,0,0.0,0,27.4
S Rocca,WSH,5,240,48.0,57,1,20.0,1,20.0,0,39.0
B Kern,TEN,3,165,55.0,57,1,33.3,0,0.0,0,47.0
C Kluwe,MIN,7,320,45.7,56,2,28.6,0,0.0,0,37.4
S Weatherford,NYG,3,116,38.7,56,3,100.0,0,0.0,0,37.0
A Lee,SF,4,193,48.3,55,1,25.0,1,25.0,0,40.8
B Fields,MIA,3,142,47.3,55,1,33.3,1,33.3,0,36.7
T Morstead,NO,4,202,50.5,55,0,0.0,0,0.0,0,45.8
Z Mesko,NE,5,240,48.0,55,2,40.0,1,20.0,0,43.8
S Powell,BUF,7,274,39.1,55,3,42.9,0,0.0,0,35.9
B Anger,JAX,8,363,45.4,55,5,62.5,0,0.0,0,43.1
P McAfee,IND,4,213,53.3,54,2,50.0,0,0.0,0,49.8
R Hodges,CLE,5,204,40.8,53,1,20.0,0,0.0,0,39.8
B Colquitt,DEN,2,89,44.5,53,2,100.0,0,0.0,0,40.5
T Masthay,GB,3,133,44.3,53,1,33.3,1,33.3,0,37.7
M Bosher,ATL,4,168,42.0,52,1,25.0,0,0.0,0,42.0
J Ryan,SEA,3,126,42.0,51,2,66.7,0,0.0,0,38.3
K Huber,CIN,3,136,45.3,50,1,33.3,0,0.0,0,44.0
J Hekker,STL,8,302,37.8,50,2,25.0,0,0.0,0,32.3
B Moorman,DAL,5,165,33.0,49,1,20.0,0,0.0,0,33.6
A Podlesh,CHI,6,225,37.5,48,4,66.7,0,0.0,0,37.5
M Scifres,SD,7,262,37.4,43,5,71.4,0,0.0,0,37.4
N Harris,DET,2,70,35.0,39,0,0.0,0,0.0,0,28.5
J Hanson,DET,0,0,-,0,0,-,0,-,0,0.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,SF,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
S Graham,HOU,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,CIN,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
