Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Colquitt,KC,4,198,49.5,61,2,50.0,1,25.0,0,43.0
M Bosher,ATL,6,296,49.3,59,3,50.0,0,0.0,0,46.8
D Zastudil,ARZ,4,212,53.0,58,1,25.0,1,25.0,0,43.5
S Rocca,WSH,3,158,52.7,58,0,0.0,0,0.0,0,44.3
S Weatherford,NYG,8,380,47.5,57,2,25.0,0,0.0,0,38.4
C Jones,DAL,2,103,51.5,57,0,0.0,1,50.0,0,28.5
S Martin,DET,5,230,46.0,57,3,60.0,1,20.0,0,37.2
R Allen,NE,3,146,48.7,57,1,33.3,0,0.0,0,45.7
S Lechler,HOU,8,396,49.5,56,3,37.5,2,25.0,0,36.1
M Koenen,TB,7,334,47.7,56,2,28.6,0,0.0,0,40.4
R Quigley,NYJ,3,132,44.0,56,0,0.0,0,0.0,1,33.0
T Morstead,NO,2,107,53.5,54,1,50.0,0,0.0,0,50.0
T Masthay,GB,4,197,49.3,54,1,25.0,1,25.0,0,42.5
B Moorman,BUF,4,180,45.0,53,0,0.0,0,0.0,0,42.5
M Scifres,SD,3,126,42.0,53,3,100.0,0,0.0,0,42.0
S Koch,BAL,5,240,48.0,53,2,40.0,0,0.0,0,42.8
J Ryan,SEA,7,289,41.3,53,3,42.9,1,14.3,0,37.9
B Fields,MIA,4,189,47.3,52,2,50.0,0,0.0,0,47.3
J Hekker,STL,4,167,41.8,52,2,50.0,0,0.0,0,41.8
B Nortman,CAR,2,92,46.0,52,1,50.0,0,0.0,0,46.0
B Kern,TEN,3,145,48.3,51,2,66.7,0,0.0,0,48.3
P McAfee,IND,6,258,43.0,51,2,33.3,2,33.3,0,34.5
B Colquitt,DEN,4,186,46.5,51,1,25.0,0,0.0,0,43.8
A Lee,SF,4,173,43.3,50,2,50.0,1,25.0,0,36.0
S Lanning,CLE,5,211,42.2,50,2,40.0,0,0.0,0,38.0
J Locke,MIN,2,97,48.5,50,2,100.0,0,0.0,0,48.0
M McBriar,PIT,3,115,38.3,48,1,33.3,0,0.0,0,38.3
K Huber,CIN,2,86,43.0,48,0,0.0,0,0.0,0,4.0
B Anger,JAX,3,136,45.3,48,1,33.3,0,0.0,0,44.0
M King,OAK,1,48,48.0,48,0,0.0,0,0.0,0,39.0
D Jones,PHI,4,165,41.3,46,1,25.0,0,0.0,0,38.0
M Nugent,CIN,2,80,40.0,43,0,0.0,0,0.0,0,40.0
A Podlesh,CHI,3,110,36.7,43,1,33.3,0,0.0,0,36.7
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
