Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Colquitt,KC,7,307,43.9,65,5,71.4,1,14.3,0,37.9
J Locke,MIN,3,170,56.7,65,2,66.7,1,33.3,0,50.0
M Bosher,ATL,6,318,53.0,63,2,33.3,0,0.0,0,52.0
J Hekker,STL,6,298,49.7,63,0,0.0,0,0.0,0,49.0
C Jones,DAL,4,200,50.0,62,1,25.0,0,0.0,0,39.8
B Nortman,CAR,5,257,51.4,62,3,60.0,1,20.0,0,43.6
S Lechler,HOU,7,338,48.3,61,5,71.4,1,14.3,0,42.9
K Huber,CIN,7,326,46.6,61,3,42.9,1,14.3,0,38.4
A Lee,SF,4,196,49.0,60,0,0.0,1,25.0,0,36.3
P McAfee,IND,4,206,51.5,60,1,25.0,2,50.0,0,41.5
R Allen,NE,11,514,46.7,60,4,36.4,2,18.2,0,42.5
J Ryan,SEA,4,170,42.5,58,2,50.0,0,0.0,1,34.0
S Martin,DET,5,261,52.2,58,0,0.0,0,0.0,0,50.2
M King,OAK,4,192,48.0,58,1,25.0,1,25.0,0,41.8
R Malone,WSH,9,401,44.6,57,1,11.1,0,0.0,0,36.6
B Anger,JAX,8,349,43.6,57,3,37.5,0,0.0,0,39.5
S Koch,BAL,6,291,48.5,56,3,50.0,0,0.0,0,45.3
S Powell,CIN,3,134,44.7,55,1,33.3,0,0.0,0,38.0
B Kern,TEN,8,382,47.8,54,1,12.5,0,0.0,0,46.6
B Fields,MIA,5,208,41.6,53,3,60.0,0,0.0,0,38.4
B Colquitt,DEN,5,210,42.0,53,2,40.0,0,0.0,0,39.4
S Lanning,CLE,8,336,42.0,53,1,12.5,2,25.0,0,31.6
D Zastudil,ARZ,5,214,42.8,52,4,80.0,0,0.0,0,42.4
Z Mesko,CIN,7,326,46.6,52,0,0.0,0,0.0,0,42.7
D Jones,PHI,3,134,44.7,51,1,33.3,0,0.0,0,43.0
T Masthay,GB,3,121,40.3,51,1,33.3,0,0.0,0,37.3
S Weatherford,NYG,5,231,46.2,50,1,20.0,0,0.0,0,22.0
S Rocca,WSH,5,184,36.8,48,3,60.0,0,0.0,0,34.6
A Podlesh,CHI,3,111,37.0,48,1,33.3,0,0.0,0,37.0
M Koenen,TB,6,243,40.5,47,2,33.3,0,0.0,0,40.8
T Morstead,NO,4,175,43.8,47,4,100.0,0,0.0,0,43.8
M Scifres,SD,1,40,40.0,40,0,0.0,0,0.0,0,40.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
