Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
J Ryan,SEA,6,318,53.0,68,3,50.0,0,0.0,0,43.5
P McAfee,IND,5,237,47.4,65,3,60.0,1,20.0,0,43.4
B Nortman,CAR,6,292,48.7,64,3,50.0,1,16.7,0,39.7
B Fields,MIA,5,244,48.8,63,0,0.0,3,60.0,0,35.4
S Martin,DET,7,355,50.7,63,2,28.6,1,14.3,0,36.9
A Lee,SF,6,258,43.0,58,4,66.7,1,16.7,0,39.3
J Hekker,STL,7,337,48.1,58,1,14.3,0,0.0,0,48.4
M Bosher,ATL,5,242,48.4,57,2,40.0,0,0.0,0,41.8
D Jones,PHI,5,237,47.4,56,1,20.0,0,0.0,0,43.8
B Kern,TEN,6,253,42.2,56,6,100.0,0,0.0,0,42.2
S Koch,BAL,6,285,47.5,55,1,16.7,0,0.0,0,41.7
D Colquitt,KC,5,229,45.8,54,0,0.0,1,20.0,0,40.6
R Quigley,NYJ,5,210,42.0,54,3,60.0,0,0.0,0,36.6
S Lechler,HOU,5,229,45.8,53,3,60.0,0,0.0,0,42.2
S Rocca,WSH,9,364,40.4,53,3,33.3,0,0.0,0,39.4
J Locke,MIN,6,244,40.7,53,3,50.0,0,0.0,0,39.3
R Allen,NE,2,105,52.5,53,1,50.0,1,50.0,0,42.5
M Scifres,SD,5,232,46.4,52,3,60.0,0,0.0,0,40.0
M Koenen,TB,5,240,48.0,52,2,40.0,0,0.0,0,48.0
M King,OAK,5,229,45.8,52,2,40.0,1,20.0,0,41.8
B Moorman,BUF,4,169,42.3,51,2,50.0,0,0.0,0,40.5
D Zastudil,ARZ,3,148,49.3,51,0,0.0,0,0.0,0,34.3
S Weatherford,NYG,8,352,44.0,50,4,50.0,0,0.0,0,41.1
T Morstead,NO,4,161,40.3,50,2,50.0,1,25.0,0,35.3
T Masthay,GB,2,80,40.0,50,0,0.0,0,0.0,0,15.5
S Powell,CIN,3,108,36.0,50,2,66.7,0,0.0,0,35.0
B Anger,JAX,5,230,46.0,49,0,0.0,0,0.0,0,45.0
B Colquitt,DEN,3,120,40.0,48,1,33.3,1,33.3,1,24.8
M McBriar,PIT,4,167,41.8,45,0,0.0,1,25.0,0,31.5
C Jones,DAL,3,111,37.0,44,2,66.7,0,0.0,0,29.0
S Lanning,CLE,5,192,38.4,44,0,0.0,1,20.0,0,30.2
A Podlesh,CHI,4,137,34.3,39,1,25.0,1,25.0,0,29.3
T Brady,NE,1,32,32.0,32,0,0.0,0,0.0,0,32.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
S Graham,NO,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
