Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
D Jones,PHI,6,259,43.2,64,2,33.3,0,0.0,0,43.2
D Colquitt,KC,6,317,52.8,59,4,66.7,1,16.7,0,45.0
B Fields,MIA,8,391,48.9,58,2,25.0,0,0.0,0,42.8
S Lechler,HOU,4,164,41.0,57,1,25.0,0,0.0,0,32.5
M Koenen,TB,6,268,44.7,57,0,0.0,1,16.7,0,26.0
J Hekker,STL,5,242,48.4,57,1,20.0,0,0.0,0,46.8
B Nortman,CAR,3,128,42.7,57,2,66.7,0,0.0,0,37.3
S Lanning,CLE,6,303,50.5,57,2,33.3,0,0.0,0,38.7
M King,OAK,7,315,45.0,57,1,14.3,1,14.3,0,36.6
P McAfee,IND,5,222,44.4,56,2,40.0,0,0.0,0,41.4
S Koch,BAL,7,298,42.6,55,2,28.6,2,28.6,0,34.9
B Kern,TEN,5,228,45.6,55,1,20.0,1,20.0,0,35.0
R Allen,NE,2,101,50.5,54,0,0.0,1,50.0,0,28.5
C Jones,DAL,5,222,44.4,53,3,60.0,0,0.0,0,37.4
T Masthay,GB,6,250,41.7,52,4,66.7,0,0.0,0,37.8
M Bosher,ATL,5,225,45.0,52,1,20.0,0,0.0,0,40.2
R Quigley,NYJ,5,222,44.4,51,2,40.0,0,0.0,0,44.4
M Scifres,SD,4,160,40.0,50,2,50.0,0,0.0,0,38.5
M McBriar,PIT,3,140,46.7,50,0,0.0,0,0.0,0,32.3
K Huber,CIN,4,154,38.5,50,4,100.0,0,0.0,0,38.5
J Locke,MIN,3,113,37.7,48,1,33.3,0,0.0,0,36.0
B Moorman,BUF,3,108,36.0,47,1,33.3,0,0.0,0,36.0
T Morstead,NO,2,82,41.0,47,2,100.0,0,0.0,0,41.0
J Ryan,SEA,2,85,42.5,46,2,100.0,0,0.0,0,42.5
S Rocca,WSH,3,123,41.0,46,1,33.3,0,0.0,0,41.0
A Podlesh,CHI,5,210,42.0,45,2,40.0,0,0.0,1,33.0
B Cundiff,CLE,1,34,34.0,34,0,0.0,1,100.0,0,14.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,BUF,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
R Succop,KC,0,0,-,0,0,-,0,-,0,0.0
G Gano,CAR,0,0,-,0,0,-,0,-,0,0.0
D Bailey,DAL,0,0,-,0,0,-,0,-,0,0.0
A Henery,PHI,0,0,-,0,0,-,0,-,0,0.0
G Zuerlein,STL,0,0,-,0,0,-,0,-,0,0.0
B Walsh,MIN,0,0,-,0,0,-,0,-,0,0.0
K Forbath,WSH,0,0,-,0,0,-,0,-,0,0.0
J Tucker,BAL,0,0,-,0,0,-,0,-,0,0.0
