Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
S Martin,DET,6,315,52.5,72,0,0.0,3,50.0,0,40.7
S Powell,CIN,7,357,51.0,66,3,42.9,3,42.9,0,39.9
M King,OAK,6,315,52.5,66,0,0.0,1,16.7,0,43.5
S Rocca,WSH,5,231,46.2,63,3,60.0,0,0.0,0,44.4
B Kern,TEN,3,140,46.7,63,2,66.7,0,0.0,0,44.3
A Lee,SF,7,305,43.6,62,2,28.6,1,14.3,0,38.4
D Zastudil,ARZ,8,326,40.8,60,4,50.0,1,12.5,0,31.6
M Scifres,SD,5,212,42.4,60,3,60.0,0,0.0,0,41.2
S Lechler,HOU,5,252,50.4,59,3,60.0,0,0.0,0,31.8
A Podlesh,CHI,6,282,47.0,59,2,33.3,0,0.0,0,46.3
T Morstead,NO,4,198,49.5,58,0,0.0,0,0.0,0,45.8
M Koenen,TB,3,149,49.7,57,0,0.0,0,0.0,0,40.0
J Hekker,STL,5,238,47.6,57,0,0.0,0,0.0,0,44.4
J Locke,MIN,7,325,46.4,57,1,14.3,0,0.0,0,43.6
S Weatherford,NYG,6,245,40.8,56,2,33.3,0,0.0,0,38.8
S Koch,BAL,4,194,48.5,56,0,0.0,0,0.0,0,44.0
B Fields,MIA,3,159,53.0,56,1,33.3,0,0.0,0,51.7
S Lanning,CLE,5,234,46.8,56,2,40.0,0,0.0,0,46.4
K Huber,CIN,3,131,43.7,55,1,33.3,0,0.0,0,43.7
T Masthay,GB,3,130,43.3,55,3,100.0,0,0.0,0,43.3
C Jones,DAL,4,195,48.8,55,2,50.0,1,25.0,0,39.8
J Ryan,SEA,4,140,35.0,54,1,25.0,0,0.0,0,35.8
D Colquitt,KC,5,218,43.6,53,3,60.0,0,0.0,0,40.8
P McAfee,IND,4,192,48.0,52,3,75.0,0,0.0,0,44.5
B Nortman,CAR,2,97,48.5,49,0,0.0,1,50.0,0,38.5
B Anger,JAX,7,299,42.7,48,2,28.6,0,0.0,0,38.0
R Allen,NE,3,128,42.7,47,1,33.3,0,0.0,0,38.7
R Quigley,NYJ,7,294,42.0,44,2,28.6,0,0.0,0,41.4
D Jones,PHI,4,148,37.0,41,2,50.0,0,0.0,0,34.0
Z Mesko,CIN,2,59,29.5,38,0,0.0,0,0.0,0,29.5
B Colquitt,DEN,1,37,37.0,37,1,100.0,0,0.0,0,37.0
M Bosher,ATL,2,66,33.0,36,0,0.0,0,0.0,0,33.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
