Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
B Nortman,CAR,7,397,56.7,72,0,0.0,0,0.0,0,46.6
S Weatherford,NYG,5,273,54.6,68,2,40.0,0,0.0,0,51.6
R Quigley,NYJ,8,411,51.4,67,3,37.5,0,0.0,0,37.9
S Koch,BAL,6,273,45.5,64,3,50.0,1,16.7,0,37.8
B Fields,MIA,6,291,48.5,64,4,66.7,1,16.7,0,38.3
B Anger,JAX,6,259,43.2,59,2,33.3,2,33.3,0,33.3
A Lee,SF,4,196,49.0,58,1,25.0,1,25.0,0,40.8
M Koenen,TB,5,218,43.6,56,0,0.0,0,0.0,0,35.2
T Morstead,NO,4,198,49.5,56,1,25.0,1,25.0,0,42.0
S Martin,DET,3,151,50.3,56,1,33.3,0,0.0,1,33.0
P McAfee,IND,5,223,44.6,54,0,0.0,0,0.0,0,40.0
M King,OAK,2,95,47.5,54,0,0.0,0,0.0,0,47.5
S Lechler,HOU,7,314,44.9,53,1,14.3,0,0.0,0,42.9
R Allen,NE,6,267,44.5,52,2,33.3,1,16.7,0,39.0
S Rocca,WSH,7,315,45.0,51,0,0.0,0,0.0,0,34.7
C Jones,DAL,7,313,44.7,51,3,42.9,1,14.3,0,39.6
J Hekker,STL,2,97,48.5,51,0,0.0,0,0.0,0,48.5
M Bosher,ATL,3,136,45.3,50,1,33.3,0,0.0,0,45.3
J Locke,MIN,6,257,42.8,50,3,50.0,0,0.0,0,41.5
B Kern,TEN,4,163,40.8,49,1,25.0,0,0.0,1,29.0
B Colquitt,DEN,8,325,40.6,49,4,50.0,0,0.0,0,35.8
M Scifres,SD,5,200,40.0,48,1,20.0,0,0.0,0,33.2
D Colquitt,KC,4,178,44.5,48,1,25.0,0,0.0,0,43.3
T Masthay,GB,8,326,40.8,48,3,37.5,0,0.0,0,40.8
S Lanning,CLE,5,195,39.0,48,2,40.0,0,0.0,0,35.2
A Podlesh,CHI,3,121,40.3,44,2,66.7,0,0.0,0,40.0
M McBriar,PIT,6,230,38.3,43,4,66.7,1,16.7,0,34.0
D Zastudil,ARZ,2,72,36.0,37,2,100.0,0,0.0,0,36.0
B Roethlisberger,PIT,1,28,28.0,28,1,100.0,0,0.0,0,28.0
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,TB,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
S Suisham,PIT,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
R Succop,KC,0,0,-,0,0,-,0,-,0,0.0
G Gano,CAR,0,0,-,0,0,-,0,-,0,0.0
