Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
M King,OAK,6,297,49.5,64,1,16.7,1,16.7,0,42.7
B Nortman,CAR,4,195,48.8,63,1,25.0,1,25.0,0,38.8
B Fields,MIA,8,420,52.5,62,3,37.5,0,0.0,0,46.3
S Lechler,HOU,3,151,50.3,60,1,33.3,0,0.0,0,41.0
A Lee,SF,4,195,48.8,60,1,25.0,0,0.0,0,43.8
T Masthay,GB,3,141,47.0,60,1,33.3,2,66.7,0,33.7
P McAfee,IND,2,93,46.5,59,0,0.0,0,0.0,1,26.3
S Weatherford,NYG,7,338,48.3,58,1,14.3,1,14.3,0,42.0
S Powell,CIN,8,364,45.5,58,0,0.0,0,0.0,0,23.1
S Martin,DET,6,311,51.8,58,2,33.3,2,33.3,0,42.8
K Huber,CIN,6,275,45.8,57,2,33.3,0,0.0,0,38.7
D Zastudil,ARZ,4,199,49.8,56,2,50.0,0,0.0,0,48.3
B Kern,TEN,6,272,45.3,56,2,33.3,0,0.0,0,38.8
T Morstead,NO,4,195,48.8,56,1,25.0,1,25.0,0,39.5
J Hekker,STL,7,286,40.9,56,2,28.6,0,0.0,0,40.1
M Bosher,ATL,2,99,49.5,55,0,0.0,0,0.0,1,23.3
D Jones,PHI,6,287,47.8,54,2,33.3,1,16.7,0,43.2
D Colquitt,KC,6,225,37.5,54,0,0.0,0,0.0,0,34.5
A Podlesh,CHI,4,181,45.3,54,1,25.0,0,0.0,0,44.8
B Anger,JAX,5,241,48.2,54,1,20.0,0,0.0,0,45.2
S Koch,BAL,5,171,34.2,53,2,40.0,0,0.0,0,32.0
R Allen,NE,8,353,44.1,53,5,62.5,0,0.0,0,42.0
C Jones,DAL,1,51,51.0,51,0,0.0,0,0.0,0,42.0
S Lanning,CLE,6,276,46.0,50,3,50.0,0,0.0,0,40.3
M Scifres,SD,2,77,38.5,49,2,100.0,0,0.0,0,38.5
R Quigley,NYJ,3,140,46.7,48,1,33.3,0,0.0,0,39.3
J Ryan,SEA,2,77,38.5,45,1,50.0,0,0.0,0,38.5
A Vinatieri,IND,0,0,-,0,0,-,0,-,0,0.0
D Akers,DET,0,0,-,0,0,-,0,-,0,0.0
P Dawson,SF,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,CLE,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Brown,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
N Novak,SD,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
N Folk,NYJ,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
D Carpenter,BUF,0,0,-,0,0,-,0,-,0,0.0
G Hartley,NO,0,0,-,0,0,-,0,-,0,0.0
S Hauschka,SEA,0,0,-,0,0,-,0,-,0,0.0
R Succop,KC,0,0,-,0,0,-,0,-,0,0.0
G Gano,CAR,0,0,-,0,0,-,0,-,0,0.0
D Bailey,DAL,0,0,-,0,0,-,0,-,0,0.0
